Sta #,VA Facility Location,ZIP 3,PBN
402,"TOGUS, ME",043,1
402GA,"CARIBOU, ME",047,3
402GB,"CALAIS, ME",046,3
402GC,"RUMFORD, ME",042,3
402GD,"SACO, ME",040,3
402HB,"BANGOR, ME",044,3
402HC,"PORTLAND, ME",041,3
405,"WHITE RIVER JCT, VT",050,1
405GA,"BENNINGTON, VT",052,3
405HA,"BURLINGTON, VT",054,3
405HC,"SAINT JOHNSBURY, VT",058,3
405HD,"NEWPORT, VT",058,3
405HF,"RUTLAND, VT",057,3
405HG,"WILDER, VT",050,3
436,"FORT HARRISON, MT",596,1
436GA,"ANACONDA, MT",597,3
436GB,"GREAT FALLS, MT",594,3
436GC,"MISSOULA, MT",598,3
436GD,"BOZEMAN, MT",597,3
436GF,"KALISPELL, MT",599,3
436GH,"BILLINGS, MT",591,3
436GI,"GLASGOW, MT",592,3
436GJ,"MILES CITY, MT",593,3
436GK,"SIDNEY, MT",592,3
437,"FARGO, ND",581,1
437GA,"GRAFTON, ND",582,3
437GB,"BISMARCK, ND",585,3
437GC,"FERGUS FALLS, MN",565,3
437GD,"MINOT, ND",587,3
438,"SIOUX FALLS, SD",571,1
438GC,"SIOUX CITY, IA",511,3
438GD,"ABERDEEN, SD",574,3
442,"CHEYENNE, WY",820,1
442GB,"SIDNEY, NE",691,3
442GC,"FORT COLLINS, CO",805,3
442GD,"GREELEY, CO",806,3
459,"HONOLULU, HI",968,1
459GA,"KAHULUI, HI",967,3
459GB,"HILO, HI",967,3
459GC,"KAILUA KONA, HI",967,3
459GD,"LIHUE, HI",967,3
459GE,"GUAM, GU",969,3
460,"WILMINGTON, DE",198,1
460GA,"MILLSBORO, DE",199,3
460HE,"VENTNOR CITY, NJ",084,3
460HG,"VINELAND, NJ",083,2
463,"ANCHORAGE, AK",995,2
463GA,"FAIRBANKS, AK",997,3
463GB,"KENAI, AK",996,3
501,"ALBUQUERQUE, NM",871,1
501G2,"LAS VEGAS, NM",875,3
