Inpatient Facility Charge Table,,,,,,,,
,,,,,,,,
Item Code,Code Type,Description,Charge Type Indicator,Standard Room and Board Per Diem,Standard Ancillary Charge Per Diem,ICU Room and Board Per Diem,ICU Ancillary Charge Per Diem,Start Date
001,DRG,CRANIOTOMY AGE >17 W CC,S,"$1,629.44","$7,139.01","$3,465.75","$7,139.01",20061001
002,DRG,CRANIOTOMY AGE >17 W/O CC,S,"$1,752.12","$11,237.45","$3,845.99","$11,237.45",20061001
003,DRG,CRANIOTOMY AGE 0-17,S,"$2,011.76","$9,769.57","$6,959.87","$9,769.57",20061001
006,DRG,CARPAL TUNNEL RELEASE,S,"$1,871.10","$6,051.86","$3,040.87","$6,051.86",20061001
007,DRG,PERIPH & CRANIAL NERVE & OTHER NERV SYST PROC W CC,S,"$1,501.07","$5,092.42","$2,988.52","$5,092.42",20061001
008,DRG,PERIPH & CRANIAL NERVE & OTHER NERV SYST PROC W/O CC,S,"$1,525.24","$13,276.44","$2,979.09","$13,276.44",20061001
009,DRG,SPINAL DISORDERS & INJURIES,N,"$1,421.96","$3,373.87","$3,480.38","$3,373.87",20061001
010,DRG,NERVOUS SYSTEM NEOPLASMS W CC,N,"$1,545.86","$3,345.08","$2,774.79","$3,345.08",20061001
011,DRG,NERVOUS SYSTEM NEOPLASMS W/O CC,N,"$1,587.60","$4,504.40","$2,897.25","$4,504.40",20061001
012,DRG,DEGENERATIVE NERVOUS SYSTEM DISORDERS,N,"$1,454.57","$2,269.51","$2,628.39","$2,269.51",20061001
013,DRG,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA,N,"$1,489.60","$2,838.15","$2,700.67","$2,838.15",20061001
014,DRG,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION,N,"$1,323.42","$3,625.45","$2,625.98","$3,625.45",20061001
015,DRG,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT,N,"$1,305.15","$3,823.34","$2,326.98","$3,823.34",20061001
016,DRG,NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,N,"$1,411.83","$3,373.08","$2,443.36","$3,373.08",20061001
017,DRG,NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC,N,"$1,518.48","$4,149.95","$2,532.71","$4,149.95",20061001
018,DRG,CRANIAL & PERIPHERAL NERVE DISORDERS W CC,N,"$1,356.97","$3,207.13","$2,348.52","$3,207.13",20061001
019,DRG,CRANIAL & PERIPHERAL NERVE DISORDERS W/O CC,N,"$1,482.16","$3,732.56","$2,467.52","$3,732.56",20061001
021,DRG,VIRAL MENINGITIS,N,"$1,460.87","$4,359.42","$2,800.62","$4,359.42",20061001
022,DRG,HYPERTENSIVE ENCEPHALOPATHY,N,"$1,408.19","$3,950.48","$2,859.10","$3,950.48",20061001
023,DRG,NONTRAUMATIC STUPOR & COMA,N,"$1,499.89","$3,846.98","$2,888.45","$3,846.98",20061001
026,DRG,SEIZURE & HEADACHE AGE 0-17,N,"$4,418.59","$17,205.83","$14,626.06","$17,205.83",20061001
027,DRG,"TRAUMATIC STUPOR & COMA, COMA >1 HR",N,"$1,579.10","$5,321.25","$3,662.69","$5,321.25",20061001
028,DRG,"TRAUMATIC STUPOR & COMA, COMA <1 HR AGE >17 W CC",N,"$1,510.61","$3,855.14","$3,229.84","$3,855.14",20061001
029,DRG,"TRAUMATIC STUPOR & COMA, COMA <1 HR AGE >17 W/O CC",N,"$1,588.85","$3,789.99","$3,255.91","$3,789.99",20061001
030,DRG,"TRAUMATIC STUPOR & COMA, COMA <1 HR AGE 0-17",N,"$1,132.17","$2,134.09","$2,466.01","$2,134.09",20061001
031,DRG,CONCUSSION AGE >17 W CC,N,"$1,520.67","$4,644.55","$3,234.06","$4,644.55",20061001
032,DRG,CONCUSSION AGE >17 W/O CC,N,"$1,708.21","$5,720.27","$3,484.54","$5,720.27",20061001
033,DRG,CONCUSSION AGE 0-17,N,"$1,745.79","$3,631.60","$3,456.27","$3,631.60",20061001
034,DRG,OTHER DISORDERS OF NERVOUS SYSTEM W CC,N,"$1,531.06","$3,496.77","$2,856.20","$3,496.77",20061001
035,DRG,OTHER DISORDERS OF NERVOUS SYSTEM W/O CC,N,"$1,609.66","$3,818.03","$2,721.72","$3,818.03",20061001
036,DRG,RETINAL PROCEDURES,S,"$3,149.07","$16,870.23","$4,183.64","$16,870.23",20061001
037,DRG,ORBITAL PROCEDURES,S,"$1,883.53","$7,301.60","$3,765.46","$7,301.60",20061001
038,DRG,PRIMARY IRIS PROCEDURES,S,"$1,749.74","$3,204.99","$1,579.86","$3,204.99",20061001
039,DRG,LENS PROCEDURES WITH OR WITHOUT VITRECTOMY,S,"$2,088.50","$8,197.43","$2,376.70","$8,197.43",20061001
040,DRG,EXTRAOCULAR PROCEDURES EXCEPT ORBIT AGE >17,S,"$2,484.71","$6,942.90","$3,838.47","$6,942.90",20061001
041,DRG,EXTRAOCULAR PROCEDURES EXCEPT ORBIT AGE 0-17,S,"$1,466.99","$4,372.02","$2,742.44","$4,372.02",20061001
042,DRG,"INTRAOCULAR PROCEDURES EXCEPT RETINA, IRIS & LENS",S,"$1,873.02","$6,576.58","$3,339.25","$6,576.58",20061001
043,DRG,HYPHEMA,N,"$1,893.78","$3,717.45","$2,986.95","$3,717.45",20061001
044,DRG,ACUTE MAJOR EYE INFECTIONS,N,"$1,708.84","$2,369.80","$2,855.40","$2,369.80",20061001
045,DRG,NEUROLOGICAL EYE DISORDERS,N,"$1,578.62","$4,798.41","$2,881.45","$4,798.41",20061001
046,DRG,OTHER DISORDERS OF THE EYE AGE >17 W CC,N,"$1,538.63","$3,153.15","$2,888.52","$3,153.15",20061001
047,DRG,OTHER DISORDERS OF THE EYE AGE >17 W/O CC,N,"$1,726.64","$3,261.04","$2,781.99","$3,261.04",20061001
048,DRG,OTHER DISORDERS OF THE EYE AGE 0-17,N,"$1,374.70","$2,218.10","$2,283.51","$2,218.10",20061001
049,DRG,MAJOR HEAD & NECK PROCEDURES,S,"$1,682.43","$8,792.87","$3,623.91","$8,792.87",20061001
050,DRG,SIALOADENECTOMY,S,"$1,945.18","$13,448.63","$3,279.15","$13,448.63",20061001
051,DRG,SALIVARY GLAND PROCEDURES EXCEPT SIALOADENECTOMY,S,"$2,137.53","$9,002.66","$3,618.59","$9,002.66",20061001
052,DRG,CLEFT LIP & PALATE REPAIR,S,"$1,184.76","$9,633.36","$2,597.54","$9,633.36",20061001
053,DRG,SINUS & MASTOID PROCEDURES AGE >17,S,"$1,569.93","$7,403.22","$3,167.00","$7,403.22",20061001
054,DRG,SINUS & MASTOID PROCEDURES AGE 0-17,S,"$1,286.00","$6,144.37","$2,787.44","$6,144.37",20061001
055,DRG,"MISCELLANEOUS EAR, NOSE, MOUTH & THROAT PROCEDURES",S,"$1,850.03","$8,327.63","$3,981.59","$8,327.63",20061001
056,DRG,RHINOPLASTY,S,"$1,508.95","$8,137.10","$2,712.22","$8,137.10",20061001
057,DRG,"T&A PROC, EXCEPT TONSILLECTOMY &/OR ADENOIDECTOMY ONLY, AGE >17",S,"$1,407.42","$6,004.90","$3,103.17","$6,004.90",20061001
058,DRG,"T&A PROC, EXCEPT TONSILLECTOMY &/OR ADENOIDECTOMY ONLY, AGE 0-17",S,"$1,398.53","$4,938.58","$2,975.89","$4,938.58",20061001
059,DRG,"TONSILLECTOMY &/OR ADENOIDECTOMY ONLY, AGE >17",S,"$1,233.76","$6,951.05","$2,983.14","$6,951.05",20061001
060,DRG,"TONSILLECTOMY &/OR ADENOIDECTOMY ONLY, AGE 0-17",S,"$1,226.75","$6,926.72","$4,425.12","$6,926.72",20061001
061,DRG,MYRINGOTOMY W TUBE INSERTION AGE >17,S,"$1,642.81","$5,480.41","$3,386.92","$5,480.41",20061001
062,DRG,MYRINGOTOMY W TUBE INSERTION AGE 0-17,S,"$1,587.41","$4,536.64","$2,884.58","$4,536.64",20061001
063,DRG,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES",S,"$1,526.02","$6,160.61","$2,970.84","$6,160.61",20061001
064,DRG,"EAR, NOSE, MOUTH & THROAT MALIGNANCY",N,"$1,591.45","$3,478.98","$3,010.13","$3,478.98",20061001
065,DRG,DYSEQUILIBRIUM,N,"$1,478.75","$3,765.89","$2,576.15","$3,765.89",20061001
066,DRG,EPISTAXIS,N,"$1,401.40","$2,961.13","$2,743.97","$2,961.13",20061001
067,DRG,EPIGLOTTITIS,N,"$1,367.24","$3,142.52","$2,434.70","$3,142.52",20061001
068,DRG,OTITIS MEDIA & URI AGE >17 W CC,N,"$1,168.93","$2,603.30","$2,137.47","$2,603.30",20061001
069,DRG,OTITIS MEDIA & URI AGE >17 W/O CC,N,"$1,180.92","$2,537.15","$2,088.29","$2,537.15",20061001
070,DRG,OTITIS MEDIA & URI AGE 0-17,N,"$1,175.79","$2,686.56","$4,185.23","$2,686.56",20061001
071,DRG,LARYNGOTRACHEITIS,N,"$1,117.20","$2,412.60","$2,409.32","$2,412.60",20061001
072,DRG,NASAL TRAUMA & DEFORMITY,N,"$1,633.19","$4,505.16","$3,192.68","$4,505.16",20061001
073,DRG,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES AGE >17",N,"$1,420.25","$3,208.08","$2,815.97","$3,208.08",20061001
074,DRG,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES AGE 0-17",N,"$1,882.08","$3,610.79","$3,676.43","$3,610.79",20061001
075,DRG,MAJOR CHEST PROCEDURES,S,"$1,722.78","$6,594.95","$3,163.61","$6,594.95",20061001
076,DRG,OTHER RESP SYSTEM O.R. PROCEDURES W CC,S,"$1,481.19","$4,690.32","$2,770.89","$4,690.32",20061001
077,DRG,OTHER RESP SYSTEM O.R. PROCEDURES W/O CC,S,"$1,578.67","$5,702.55","$2,988.49","$5,702.55",20061001
078,DRG,PULMONARY EMBOLISM,N,"$1,229.99","$3,160.10","$2,183.38","$3,160.10",20061001
079,DRG,RESPIRATORY INFECTIONS & INFLAMMATIONS AGE >17 W CC,N,"$1,336.24","$3,118.07","$2,419.86","$3,118.07",20061001
