"Version 2.8, Mid Year Update - Outpatient Facility",,,,,,,,,,,,
Item Code,Code Type,Description,Modifier,Service Category Code,Multiple Surgery Indicator,Primary/Pass-Through Indicator,Unit Charge,Base charge,Unit Type,Inpatient Indicator,Skilled Nursing Facility Indicator,Start Date
10021,CPT,Fna w/o image,,30,1,1,$243.49 ,$0.00,1,0,1,20061001
10022,CPT,Fna w/image,,30,1,1,$457.00 ,$0.00,1,0,1,20061001
10040,CPT,Acne surgery,,30,1,1,$195.24 ,$0.00,1,0,1,20061001
10060,CPT,Drainage of skin abscess,,30,1,1,$497.85 ,$0.00,1,0,1,20061001
10061,CPT,Drainage of skin abscess,,30,1,1,$497.85 ,$0.00,1,0,1,20061001
10080,CPT,Drainage of pilonidal cyst,,30,1,1,$497.85 ,$0.00,1,0,1,20061001
10081,CPT,Drainage of pilonidal cyst,,30,1,1,"$3,544.83 ",$0.00,1,0,1,20061001
10120,CPT,Remove foreign body,,30,1,1,$497.85 ,$0.00,1,0,1,20061001
10121,CPT,Remove foreign body,,30,1,1,"$4,293.64 ",$0.00,1,0,1,20061001
10140,CPT,Drainage of hematoma/fluid,,30,1,1,"$3,544.83 ",$0.00,1,0,1,20061001
10160,CPT,Puncture drainage of lesion,,30,1,1,$276.50 ,$0.00,1,0,1,20061001
10180,CPT,"Complex drainage, wound",,30,1,1,"$3,544.83 ",$0.00,1,0,1,20061001
11000,CPT,Debride infected skin,,30,1,1,$480.57 ,$0.00,1,0,1,20061001
11001,CPT,Debride infected skin add-on,,30,1,1,$229.31 ,$0.00,1,0,1,20061001
11010,CPT,"Debride skin, fx",,30,1,1,"$1,188.20 ",$0.00,1,0,1,20061001
11011,CPT,"Debride skin/muscle, fx",,30,1,1,"$1,188.20 ",$0.00,1,0,1,20061001
11012,CPT,"Debride skin/muscle/bone, fx",,30,1,1,"$1,188.20 ",$0.00,1,0,1,20061001
11040,CPT,"Debride skin, partial",,30,1,1,$480.57 ,$0.00,1,0,1,20061001
11041,CPT,"Debride skin, full",,30,1,1,$480.57 ,$0.00,1,0,1,20061001
11042,CPT,Debride skin/tissue,,30,1,1,$774.62 ,$0.00,1,0,1,20061001
11043,CPT,Debride tissue/muscle,,30,1,1,$774.62 ,$0.00,1,0,1,20061001
11044,CPT,Debride tissue/muscle/bone,,30,1,1,"$2,425.17 ",$0.00,1,0,1,20061001
11055,CPT,Trim skin lesion,,30,1,1,$229.31 ,$0.00,1,0,1,20061001
11056,CPT,"Trim skin lesions, 2 to 4",,30,1,1,$229.31 ,$0.00,1,0,1,20061001
11057,CPT,"Trim skin lesions, over 4",,30,1,1,$337.02 ,$0.00,1,0,1,20061001
11100,CPT,"Biopsy, skin lesion",,30,1,1,$276.50 ,$0.00,1,0,1,20061001
11101,CPT,"Biopsy, skin add-on",,30,1,1,$276.50 ,$0.00,1,0,1,20061001
11200,CPT,Removal of skin tags,,30,1,1,$337.02 ,$0.00,1,0,1,20061001
11201,CPT,Remove skin tags add-on,,30,1,1,$480.57 ,$0.00,1,0,1,20061001
11300,CPT,Shave skin lesion,,30,1,1,$229.31 ,$0.00,1,0,1,20061001
11301,CPT,Shave skin lesion,,30,1,1,$229.31 ,$0.00,1,0,1,20061001
11302,CPT,Shave skin lesion,,30,1,1,$229.31 ,$0.00,1,0,1,20061001
11303,CPT,Shave skin lesion,,30,1,1,$480.57 ,$0.00,1,0,1,20061001
11305,CPT,Shave skin lesion,,30,1,1,$337.02 ,$0.00,1,0,1,20061001
11306,CPT,Shave skin lesion,,30,1,1,$337.02 ,$0.00,1,0,1,20061001
11307,CPT,Shave skin lesion,,30,1,1,$337.02 ,$0.00,1,0,1,20061001
11308,CPT,Shave skin lesion,,30,1,1,$337.02 ,$0.00,1,0,1,20061001
11310,CPT,Shave skin lesion,,30,1,1,$337.02 ,$0.00,1,0,1,20061001
11311,CPT,Shave skin lesion,,30,1,1,$337.02 ,$0.00,1,0,1,20061001
11312,CPT,Shave skin lesion,,30,1,1,$337.02 ,$0.00,1,0,1,20061001
11313,CPT,Shave skin lesion,,30,1,1,$774.62 ,$0.00,1,0,1,20061001
11400,CPT,Removal of skin lesion,,30,1,1,"$1,188.20 ",$0.00,1,0,1,20061001
11401,CPT,Removal of skin lesion,,30,1,1,"$1,188.20 ",$0.00,1,0,1,20061001
