"Version 2.8, Mid Year Update - Professional Services and Supplies Charge Table, Including Ambulance",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Item Code,Code Type,Description,Modifier,"Technical, Professional Indicator",Service Category Code,Primary/Bundled Indicator,Charge Type Indicator,Work Expense Units,Provider-Based Practice Expense Units,Non-Provider-Based Practice Expense Units,Total Expense Units, Anesthesia Base Units,Unit Charge,Base Charge,Unit Type,Facility Indicator,Outpatient Indicator,Inpatient Indicator,Skilled Nursing Facility Carveout,Freestanding Carve-out,Start Date
00100,CPT,Anes-Proc Salivary Glands Incl Bx,,,3 ,,Anesth,,,,,5.0,$1.00,,3,0,1,1,1,1,20061001
00102,CPT,Anes-Proc Plastic Repair Cleft Lip,,,3 ,,Anesth,,,,,6.0,$1.00,,3,0,1,1,1,1,20061001
00103,CPT,Anes-Reconstructive Proc Eyelid,,,3 ,,Anesth,,,,,5.0,$1.00,,3,0,1,1,1,1,20061001
00104,CPT,Anes-Electroculvulsive Therapy,,,3 ,,Anesth,,,,,4.0,$1.00,,3,0,1,1,1,1,20061001
00120,CPT,Anes-Ext Mid&Innr Ear W/Bx; Nos,,,3 ,,Anesth,,,,,5.0,$1.00,,3,0,1,1,1,1,20061001
00124,CPT,Anes-Ext Mid&Innr Ear W/Bx; Otscpy,,,3 ,,Anesth,,,,,4.0,$1.00,,3,0,1,1,1,1,20061001
00126,CPT,Anes-Ext Mid&Innr Ear W/Bx; Tympnot,,,3 ,,Anesth,,,,,4.0,$1.00,,3,0,1,1,1,1,20061001
00140,CPT,Anesthesia Procedures On Eye; Nos,,,3 ,,Anesth,,,,,5.0,$1.00,,3,0,1,1,1,1,20061001
00142,CPT,Anesthesia Proc Eye; Lens Surgery,,,3 ,,Anesth,,,,,4.0,$1.00,,3,0,1,1,1,1,20061001
00144,CPT,Anes-Proc Eye; Corneal Transplant,,,3 ,,Anesth,,,,,6.0,$1.00,,3,0,1,1,1,1,20061001
00145,CPT,Anes-Proc Eye; Vitreoretinal Surg,,,3 ,,Anesth,,,,,6.0,$1.00,,3,0,1,1,1,1,20061001
00147,CPT,Anesthesia Proc Eye; Iridectomy,,,3 ,,Anesth,,,,,4.0,$1.00,,3,0,1,1,1,1,20061001
00148,CPT,Anesthesia Proc Eye; Ophthalmoscopy,,,3 ,,Anesth,,,,,4.0,$1.00,,3,0,1,1,1,1,20061001
00160,CPT,Anes-Proc Nose&Access Sinuses; Nos,,,3 ,,Anesth,,,,,5.0,$1.00,,3,0,1,1,1,1,20061001
00162,CPT,Anes-Nse&Acss Sinuses; Radl Surg,,,3 ,,Anesth,,,,,7.0,$1.00,,3,0,1,1,1,1,20061001
00164,CPT,Anes-Nse&Acss Sinuses; Bx Sft Tiss,,,3 ,,Anesth,,,,,4.0,$1.00,,3,0,1,1,1,1,20061001
00170,CPT,Anes-Intraoral Including Bx; Nos,,,3 ,,Anesth,,,,,5.0,$1.00,,3,0,1,1,1,1,20061001
00172,CPT,Anes-Intraorl W/Bx; Repr Clt Palate,,,3 ,,Anesth,,,,,6.0,$1.00,,3,0,1,1,1,1,20061001
00174,CPT,Anes-Intraoral W/Bx; Exc Tumor,,,3 ,,Anesth,,,,,6.0,$1.00,,3,0,1,1,1,1,20061001
00176,CPT,Anes-Intraorl Incl Bx; Radl Surgery,,,3 ,,Anesth,,,,,7.0,$1.00,,3,0,1,1,1,1,20061001
00190,CPT,Anes-Proc Facial Bones/Skull; Nos,,,3 ,,Anesth,,,,,5.0,$1.00,,3,0,1,1,1,1,20061001
00192,CPT,Anes-Proc Fce Bns/Skull; Radl Surg,,,3 ,,Anesth,,,,,7.0,$1.00,,3,0,1,1,1,1,20061001
00210,CPT,Anes-Intracran; Nos,,,3 ,,Anesth,,,,,11.0,$1.00,,3,0,1,1,1,1,20061001
00212,CPT,Anes-Intracran; Subdural Taps,,,3 ,,Anesth,,,,,5.0,$1.00,,3,0,1,1,1,1,20061001
00214,CPT,Anes-Cran; Burr Holes-Ventricgrph,,,3 ,,Anesth,,,,,9.0,$1.00,,3,0,1,1,1,1,20061001
00215,CPT,Anes-Intracran;Elev Skl Fx-Xtradurl,,,3 ,,Anesth,,,,,9.0,$1.00,,3,0,1,1,1,1,20061001
00216,CPT,Anes-Intracran; Vascular Procedures,,,3 ,,Anesth,,,,,15.0,$1.00,,3,0,1,1,1,1,20061001
00218,CPT,Anes-Intracran; Proc Sitting Pstn,,,3 ,,Anesth,,,,,13.0,$1.00,,3,0,1,1,1,1,20061001
00220,CPT,Anes-Intracran;Cerebrosp Fl Shnting,,,3 ,,Anesth,,,,,10.0,$1.00,,3,0,1,1,1,1,20061001
00222,CPT,Anes-Intracran;Elec-Coag Cran Nerv,,,3 ,,Anesth,,,,,6.0,$1.00,,3,0,1,1,1,1,20061001
00300,CPT,Anes-Integ-Musc&Nerv-Head-Trunk;Nos,,,3 ,,Anesth,,,,,5.0,$1.00,,3,0,1,1,1,1,20061001
00320,CPT,Anes-Esoph Thyrd Trachea;Nos 1 Yr/>,,,3 ,,Anesth,,,,,6.0,$1.00,,3,0,1,1,1,1,20061001
00322,CPT,Anes-Esoph Thyroid Trach;Bx Thyroid,,,3 ,,Anesth,,,,,3.0,$1.00,,3,0,1,1,1,1,20061001
00326,CPT,Anes-Larynx&Trach Chld < 1 Yr Age,,,3 ,,Anesth,,,,,7.0,$1.00,,3,0,1,1,1,1,20061001
00350,CPT,Anes-Proc Major Vessels Neck; Nos,,,3 ,,Anesth,,,,,10.0,$1.00,,3,0,1,1,1,1,20061001
00352,CPT,Anes-Proc Maj Ves Neck; Simple Lig,,,3 ,,Anesth,,,,,5.0,$1.00,,3,0,1,1,1,1,20061001
00400,CPT,Anes-Integ Extrem Trnk Perin; Nos,,,3 ,,Anesth,,,,,3.0,$1.00,,3,0,1,1,1,1,20061001
00402,CPT,Anes-Integ Extrem Trnk; Brst Recon,,,3 ,,Anesth,,,,,5.0,$1.00,,3,0,1,1,1,1,20061001
00404,CPT,Anes-Integ Trunk; Radl Breast Proc,,,3 ,,Anesth,,,,,5.0,$1.00,,3,0,1,1,1,1,20061001
00406,CPT,Anes-Integ;Radl Brst W/Node Dissect,,,3 ,,Anesth,,,,,13.0,$1.00,,3,0,1,1,1,1,20061001
00410,CPT,Anes-Integ Extrm Trnk;Convrt Arryth,,,3 ,,Anesth,,,,,4.0,$1.00,,3,0,1,1,1,1,20061001
00450,CPT,Anes-Proc Clavicle&Scapula; Nos,,,3 ,,Anesth,,,,,5.0,$1.00,,3,0,1,1,1,1,20061001
00452,CPT,Anes-Proc Clav&Scapula; Radl Surg,,,3 ,,Anesth,,,,,6.0,$1.00,,3,0,1,1,1,1,20061001
00454,CPT,Anes-Proc Clav&Scapula; Bx Clav,,,3 ,,Anesth,,,,,3.0,$1.00,,3,0,1,1,1,1,20061001
00470,CPT,Anes-Partial Rib Resection; Nos,,,3 ,,Anesth,,,,,6.0,$1.00,,3,0,1,1,1,1,20061001
00472,CPT,Anes-Part Rib Res; Thoracoplasty,,,3 ,,Anesth,,,,,10.0,$1.00,,3,0,1,1,1,1,20061001
00474,CPT,Anes-Part Rib Resection; Radl Proc,,,3 ,,Anesth,,,,,13.0,$1.00,,3,0,1,1,1,1,20061001
00500,CPT,Anes-On Esophagus,,,3 ,,Anesth,,,,,15.0,$1.00,,3,0,1,1,1,1,20061001
00520,CPT,Anes-Closed Chest; Nos,,,3 ,,Anesth,,,,,6.0,$1.00,,3,0,1,1,1,1,20061001
00522,CPT,Anes-Closed Chest; Needle Bx Pleura,,,3 ,,Anesth,,,,,4.0,$1.00,,3,0,1,1,1,1,20061001
00524,CPT,Anes-Closed Chest; Pneumocentesis,,,3 ,,Anesth,,,,,4.0,$1.00,,3,0,1,1,1,1,20061001
00528,CPT,Anes-Clo Chst;Mediastnscp No 1 Lung,,,3 ,,Anesth,,,,,8.0,$1.00,,3,0,1,1,1,1,20061001
00529,CPT,Anes-Clos Chst; Mediastnscpy 1 Lung,,,3 ,,Anesth,,,,,11.0,$1.00,,3,0,1,1,1,1,20061001
00530,CPT,Anes-Perm Trns Pacemkr Insertion,,,3 ,,Anesth,,,,,4.0,$1.00,,3,0,1,1,1,1,20061001
00532,CPT,Anes-Access Cntrl Venous Circ,,,3 ,,Anesth,,,,,4.0,$1.00,,3,0,1,1,1,1,20061001
00534,CPT,Anes-Trns Insrt/Repl Pacing Defib,,,3 ,,Anesth,,,,,7.0,$1.00,,3,0,1,1,1,1,20061001
00537,CPT,Anes-Card Eps Incl Radiofreq Ablat,,,3 ,,Anesth,,,,,7.0,$1.00,,3,0,1,1,1,1,20061001
00539,CPT,Anes-Tracheobronchial Reconstruct,,,3 ,,Anesth,,,,,18.0,$1.00,,3,0,1,1,1,1,20061001
00540,CPT,Anes-Thoracot; Nos,,,3 ,,Anesth,,,,,12.0,$1.00,,3,0,1,1,1,1,20061001
00541,CPT,Anes-Thoracot; Util 1 Lung Vent,,,3 ,,Anesth,,,,,15.0,$1.00,,3,0,1,1,1,1,20061001
